,N,C,time,sinks
890,700,1,0.010084390640258789,True
891,700,1,0.012392759323120117,False
892,710,1,0.010725021362304688,True
893,710,1,0.012410879135131836,False
894,720,1,0.010623455047607422,True
895,720,1,0.012499570846557617,False
896,730,1,0.010859012603759766,True
897,730,1,0.012285470962524414,False
898,740,1,0.010534048080444336,True
899,740,1,0.012282371520996094,False
900,750,1,0.011315107345581055,True
901,750,1,0.013332128524780273,False
902,760,1,0.011168479919433594,True
903,760,1,0.012830734252929688,False
904,770,1,0.011009454727172852,True
905,770,1,0.013033866882324219,False
906,780,1,0.011174201965332031,True
907,780,1,0.013362407684326172,False
908,790,1,0.011264562606811523,True
909,790,1,0.014106035232543945,False
910,800,1,0.011788606643676758,True
911,800,1,0.01364588737487793,False
912,810,1,0.012074470520019531,True
913,810,1,0.013972997665405273,False
914,820,1,0.01184225082397461,True
915,820,1,0.013863801956176758,False
916,830,1,0.012026786804199219,True
917,830,1,0.014029741287231445,False
918,840,1,0.012137651443481445,True
919,840,1,0.01456141471862793,False
920,850,1,0.012586593627929688,True
921,850,1,0.015210151672363281,False
922,860,1,0.012874364852905273,True
923,860,1,0.015238046646118164,False
924,870,1,0.013210296630859375,True
925,870,1,0.01473546028137207,False
926,880,1,0.012738704681396484,True
927,880,1,0.014844655990600586,False
928,890,1,0.013013601303100586,True
929,890,1,0.014919757843017578,False
930,900,1,0.013031005859375,True
931,900,1,0.015263795852661133,False
932,910,1,0.012984752655029297,True
933,910,1,0.015256166458129883,False
934,920,1,0.013129949569702148,True
935,920,1,0.015436410903930664,False
936,930,1,0.013301849365234375,True
937,930,1,0.015658855438232422,False
938,940,1,0.013688802719116211,True
939,940,1,0.016589641571044922,False
940,950,1,0.014373540878295898,True
941,950,1,0.015790224075317383,False
942,960,1,0.013943672180175781,True
943,960,1,0.016021251678466797,False
944,970,1,0.01414036750793457,True
945,970,1,0.017042875289916992,False
946,980,1,0.014853477478027344,True
947,980,1,0.016879796981811523,False
948,990,1,0.01441049575805664,True
949,990,1,0.017019987106323242,False
950,50,1,0.0007050037384033203,True
951,50,1,0.0007951259613037109,False
952,60,1,0.0008256435394287109,True
953,60,1,0.0009212493896484375,False
954,70,1,0.0009930133819580078,True
955,70,1,0.0011353492736816406,False
956,80,1,0.0010578632354736328,True
957,80,1,0.0012390613555908203,False
958,90,1,0.0012178421020507812,True
959,90,1,0.0014324188232421875,False
960,100,1,0.0013782978057861328,True
961,100,1,0.0015218257904052734,False
962,110,1,0.0015115737915039062,True
963,110,1,0.001706838607788086,False
964,120,1,0.0016467571258544922,True
965,120,1,0.001949310302734375,False
966,130,1,0.0017905235290527344,True
967,130,1,0.0020132064819335938,False
968,140,1,0.001916646957397461,True
969,140,1,0.0021452903747558594,False
970,150,1,0.002035379409790039,True
971,150,1,0.0025844573974609375,False
972,160,1,0.0022988319396972656,True
973,160,1,0.0026717185974121094,False
974,170,1,0.0024755001068115234,True
975,170,1,0.002839326858520508,False
976,180,1,0.0026221275329589844,True
977,180,1,0.0030171871185302734,False
978,190,1,0.0027284622192382812,True
979,190,1,0.0031309127807617188,False
980,200,1,0.002767324447631836,True
981,200,1,0.003199338912963867,False
982,210,1,0.0027976036071777344,True
983,210,1,0.003322124481201172,False
984,220,1,0.003020048141479492,True
985,220,1,0.0035042762756347656,False
986,230,1,0.003239870071411133,True
987,230,1,0.0036695003509521484,False
988,240,1,0.003309488296508789,True
989,240,1,0.003947734832763672,False
990,250,1,0.0035996437072753906,True
991,250,1,0.004056453704833984,False
992,260,1,0.0035800933837890625,True
993,260,1,0.0042803287506103516,False
994,270,1,0.003682851791381836,True
995,270,1,0.004282712936401367,False
996,280,1,0.004065752029418945,True
997,280,1,0.0044634342193603516,False
998,290,1,0.004063606262207031,True
999,290,1,0.004718303680419922,False
1000,300,1,0.004163026809692383,True
