,N,C,time
171,3,1,6.0558319091796875e-05
172,5,1,0.0007021427154541016
173,7,1,0.0003342628479003906
174,9,1,0.0034942626953125
175,11,1,0.03466486930847168
176,13,1,0.007051944732666016
177,15,1,0.09483885765075684
178,17,1,0.40471982955932617
179,19,1,0.06410408020019531
180,1,1,3.147125244140625e-05
181,3,1,4.9591064453125e-05
182,5,1,0.00030541419982910156
183,7,1,0.0001232624053955078
184,9,1,0.0011553764343261719
185,11,1,0.01396036148071289
186,13,1,0.03928995132446289
187,15,1,0.12209248542785645
188,17,1,0.04651284217834473
189,19,1,0.8506543636322021
190,1,1,0.000110626220703125
191,3,1,0.000133514404296875
192,5,1,0.0004067420959472656
193,7,1,0.0002224445343017578
194,9,1,0.005154132843017578
195,11,1,0.016007423400878906
196,13,1,0.004572153091430664
197,15,1,0.041665077209472656
198,17,1,0.012341737747192383
199,19,1,0.5687134265899658
