,N,P,time
981,100,0.1,0.007546901702880859
982,100,0.3,0.01785445213317871
983,100,0.5,0.02803826332092285
984,100,0.7,0.03777146339416504
985,100,0.9,0.04841494560241699
986,100,1.0,0.05096173286437988
987,110,0.05,0.00511479377746582
988,110,0.1,0.008884429931640625
989,110,0.3,0.021019697189331055
990,110,0.5,0.03444528579711914
991,110,0.7,0.04654860496520996
992,110,0.9,0.059212684631347656
993,110,1.0,0.06281137466430664
994,120,0.05,0.005652904510498047
995,120,0.1,0.009817361831665039
996,120,0.3,0.02521204948425293
997,120,0.5,0.04004240036010742
998,120,0.7,0.05426359176635742
999,120,0.9,0.0703122615814209
1000,120,1.0,0.07230019569396973
1001,130,0.05,0.00713038444519043
1002,130,0.1,0.010850667953491211
1003,130,0.3,0.02883148193359375
1004,130,0.5,0.04566001892089844
1005,130,0.7,0.06309127807617188
1006,130,0.9,0.08180665969848633
1007,130,1.0,0.32834625244140625
1008,140,0.05,0.007666826248168945
1009,140,0.1,0.012696027755737305
1010,140,0.3,0.03322148323059082
1011,140,0.5,0.054689884185791016
1012,140,0.7,0.07457232475280762
1013,140,0.9,0.09561681747436523
1014,140,1.0,0.09910726547241211
1015,150,0.05,0.008627176284790039
1016,150,0.1,0.014493227005004883
1017,150,0.3,0.03991436958312988
1018,150,0.5,0.06316161155700684
1019,150,0.7,0.08499979972839355
1020,150,0.9,0.10716629028320312
1021,150,1.0,0.11356687545776367
1022,160,0.05,0.009762763977050781
1023,160,0.1,0.015956401824951172
1024,160,0.3,0.04274249076843262
1025,160,0.5,0.07021784782409668
1026,160,0.7,0.10622406005859375
1027,160,0.9,0.12547636032104492
1028,160,1.0,0.1252288818359375
1029,170,0.05,0.01068735122680664
1030,170,0.1,0.01804184913635254
1031,170,0.3,0.04790639877319336
1032,170,0.5,0.07728266716003418
1033,170,0.7,0.10599470138549805
1034,170,0.9,0.13442039489746094
1035,170,1.0,0.14283466339111328
1036,180,0.05,0.011558055877685547
1037,180,0.1,0.021596193313598633
1038,180,0.3,0.0541226863861084
1039,180,0.5,0.08873462677001953
1040,180,0.7,0.12212157249450684
1041,180,0.9,0.15423178672790527
1042,180,1.0,0.16173505783081055
1043,190,0.05,0.012690544128417969
1044,190,0.1,0.022658586502075195
