,N,C,time
599,290,9,0.017436742782592773
600,300,1,0.008299827575683594
601,300,3,0.008992195129394531
602,300,5,0.011427640914916992
603,300,7,0.015088081359863281
604,300,9,0.017378568649291992
605,310,1,0.008557319641113281
606,310,3,0.009321212768554688
607,310,5,0.011866331100463867
608,310,7,0.015433311462402344
609,310,9,0.01785874366760254
610,320,1,0.008744001388549805
611,320,3,0.009588003158569336
612,320,5,0.012180089950561523
613,320,7,0.015599489212036133
614,320,9,0.01818060874938965
615,330,1,0.009082794189453125
616,330,3,0.009833335876464844
617,330,5,0.01246190071105957
618,330,7,0.016085386276245117
619,330,9,0.018755197525024414
620,340,1,0.009367704391479492
621,340,3,0.010172128677368164
622,340,5,0.01290750503540039
623,340,7,0.016718149185180664
624,340,9,0.019377946853637695
625,350,1,0.009587764739990234
626,350,3,0.01042485237121582
627,350,5,0.013353347778320312
628,350,7,0.017274141311645508
629,350,9,0.019886255264282227
630,360,1,0.00978994369506836
631,360,3,0.010686874389648438
632,360,5,0.013729333877563477
633,360,7,0.017827272415161133
634,360,9,0.020459413528442383
635,370,1,0.010111331939697266
636,370,3,0.010965585708618164
637,370,5,0.01427459716796875
638,370,7,0.018398284912109375
639,370,9,0.02115607261657715
640,380,1,0.010480880737304688
641,380,3,0.011387109756469727
642,380,5,0.01473093032836914
643,380,7,0.01894545555114746
644,380,9,0.021801233291625977
645,390,1,0.010854005813598633
646,390,3,0.011606216430664062
647,390,5,0.0150909423828125
648,390,7,0.01947808265686035
649,390,9,0.022274255752563477
650,400,1,0.011209964752197266
651,400,3,0.012008190155029297
652,400,5,0.015631675720214844
653,400,7,0.019797325134277344
654,400,9,0.023705482482910156
655,410,1,0.011495828628540039
656,410,3,0.01226186752319336
657,410,5,0.016203641891479492
658,410,7,0.0204775333404541
659,410,9,0.02393364906311035
660,420,1,0.011858463287353516
661,420,3,0.012587547302246094
662,420,5,0.016328811645507812
663,420,7,0.021167516708374023
664,420,9,0.02462291717529297
665,430,1,0.011965274810791016
666,430,3,0.012966632843017578
667,430,5,0.016794204711914062
668,430,7,0.021460771560668945
669,430,9,0.025561809539794922
670,440,1,0.012302637100219727
671,440,3,0.013275861740112305
672,440,5,0.017240047454833984
673,440,7,0.022054672241210938
674,440,9,0.026005029678344727
675,450,1,0.012487411499023438
676,450,3,0.01355123519897461
677,450,5,0.017504453659057617
678,450,7,0.022386789321899414
679,450,9,0.026350021362304688
680,460,1,0.01281881332397461
681,460,3,0.013808965682983398
682,460,5,0.017729997634887695
683,460,7,0.02296614646911621
684,460,9,0.02735280990600586
685,470,1,0.013149261474609375
686,470,3,0.014091253280639648
687,470,5,0.018172264099121094
688,470,7,0.023297786712646484
689,470,9,0.027346372604370117
690,480,1,0.013284683227539062
691,480,3,0.014331817626953125
692,480,5,0.018337488174438477
693,480,7,0.023730039596557617
694,480,9,0.02807903289794922
695,490,1,0.013533592224121094
696,490,3,0.014501571655273438
697,490,5,0.018912553787231445
698,490,7,0.02463364601135254
699,490,9,0.02860736846923828
700,500,1,0.013697385787963867
701,500,3,0.014854907989501953
702,500,5,0.019022226333618164
703,500,7,0.02520465850830078
704,500,9,0.02943110466003418
705,510,1,0.014019489288330078
706,510,3,0.015260934829711914
707,510,5,0.019477128982543945
708,510,7,0.025988340377807617
709,510,9,0.03025341033935547
710,520,1,0.014347076416015625
711,520,3,0.01581263542175293
712,520,5,0.02013254165649414
713,520,7,0.026149272918701172
714,520,9,0.030555248260498047
715,530,1,0.014489889144897461
716,530,3,0.015943050384521484
717,530,5,0.02073192596435547
718,530,7,0.02737259864807129
719,530,9,0.03104400634765625
720,540,1,0.01489114761352539
721,540,3,0.016854524612426758
722,540,5,0.0214996337890625
723,540,7,0.027310609817504883
724,540,9,0.03189373016357422
725,550,1,0.015216827392578125
726,550,3,0.016394853591918945
727,550,5,0.02104949951171875
728,550,7,0.027086496353149414
729,550,9,0.032680511474609375
730,560,1,0.015403032302856445
731,560,3,0.01667928695678711
732,560,5,0.0218203067779541
733,560,7,0.028653383255004883
734,560,9,0.03297853469848633
735,570,1,0.01562356948852539
736,570,3,0.017414093017578125
737,570,5,0.02196478843688965
738,570,7,0.028020620346069336
739,570,9,0.033721208572387695
740,580,1,0.015752077102661133
741,580,3,0.017504215240478516
742,580,5,0.022176742553710938
743,580,7,0.02923750877380371
744,580,9,0.034281253814697266
745,590,1,0.01604628562927246
746,590,3,0.01748824119567871
747,590,5,0.022582054138183594
748,590,7,0.02910900115966797
749,590,9,0.035123348236083984
750,600,1,0.0163571834564209
751,600,3,0.018358469009399414
