,filename,nodes,n,c,time
171,gnp_uniform_mpg_25_5_1.edgelist.gz,25,25,5,0.365595929999472
172,gnp_uniform_mpg_25_5_2.edgelist.gz,25,25,5,0.016983073999654152
173,gnp_uniform_mpg_25_5_3.edgelist.gz,25,25,5,0.5147865199996886
174,gnp_uniform_mpg_25_5_4.edgelist.gz,25,25,5,0.014980456000557751
175,gnp_uniform_mpg_25_5_5.edgelist.gz,25,25,5,0.15942703200016695
176,gnp_uniform_mpg_25_5_6.edgelist.gz,25,25,5,0.017641045000345912
177,gnp_uniform_mpg_25_5_7.edgelist.gz,25,25,5,0.018034040000202367
178,gnp_uniform_mpg_25_5_8.edgelist.gz,25,25,5,0.015793333999681636
179,gnp_uniform_mpg_25_5_9.edgelist.gz,25,25,5,0.01976462799939327
180,gnp_uniform_mpg_25_7_0.edgelist.gz,25,25,7,0.027632067000013194
181,gnp_uniform_mpg_25_7_1.edgelist.gz,25,25,7,0.023240401000293787
182,gnp_uniform_mpg_25_7_2.edgelist.gz,25,25,7,0.7391980730008072
183,gnp_uniform_mpg_25_7_3.edgelist.gz,25,25,7,0.025075819001358468
184,gnp_uniform_mpg_25_7_4.edgelist.gz,25,25,7,0.11800438799946278
185,gnp_uniform_mpg_25_7_5.edgelist.gz,25,25,7,0.021872637000342365
186,gnp_uniform_mpg_25_7_6.edgelist.gz,25,25,7,0.6487082799994823
187,gnp_uniform_mpg_25_7_7.edgelist.gz,25,25,7,0.02113455800099473
188,gnp_uniform_mpg_25_7_8.edgelist.gz,25,25,7,0.024460591999741155
189,gnp_uniform_mpg_25_7_9.edgelist.gz,25,25,7,0.8156011650007713
190,gnp_uniform_mpg_25_9_0.edgelist.gz,25,25,9,0.031225940998410806
191,gnp_uniform_mpg_25_9_1.edgelist.gz,25,25,9,1.1834955600006651
192,gnp_uniform_mpg_25_9_2.edgelist.gz,25,25,9,0.030026074000488734
193,gnp_uniform_mpg_25_9_3.edgelist.gz,25,25,9,0.02883263200055808
194,gnp_uniform_mpg_25_9_4.edgelist.gz,25,25,9,0.03125764799915487
195,gnp_uniform_mpg_25_9_5.edgelist.gz,25,25,9,1.3564122230000066
196,gnp_uniform_mpg_25_9_6.edgelist.gz,25,25,9,0.12270496000019193
197,gnp_uniform_mpg_25_9_7.edgelist.gz,25,25,9,0.027872249998836196
198,gnp_uniform_mpg_25_9_8.edgelist.gz,25,25,9,0.030789084999923944
199,gnp_uniform_mpg_25_9_9.edgelist.gz,25,25,9,0.029295816999365343
200,gnp_uniform_mpg_36_1_0.edgelist.gz,36,36,1,0.10729596099918126
201,gnp_uniform_mpg_36_1_1.edgelist.gz,36,36,1,0.1301745149994531
202,gnp_uniform_mpg_36_1_2.edgelist.gz,36,36,1,0.08759900800032483
203,gnp_uniform_mpg_36_1_3.edgelist.gz,36,36,1,0.05667233600070176
204,gnp_uniform_mpg_36_1_4.edgelist.gz,36,36,1,0.029438293000566773
205,gnp_uniform_mpg_36_1_5.edgelist.gz,36,36,1,0.07635064100031741
206,gnp_uniform_mpg_36_1_6.edgelist.gz,36,36,1,0.061912708999443566
207,gnp_uniform_mpg_36_1_7.edgelist.gz,36,36,1,0.0888891100003093
208,gnp_uniform_mpg_36_1_8.edgelist.gz,36,36,1,0.06174187899887329
209,gnp_uniform_mpg_36_1_9.edgelist.gz,36,36,1,0.07193348300097568
210,gnp_uniform_mpg_36_3_0.edgelist.gz,36,36,3,0.0418673910007783
211,gnp_uniform_mpg_36_3_1.edgelist.gz,36,36,3,0.34416322200013383
212,gnp_uniform_mpg_36_3_2.edgelist.gz,36,36,3,0.4020289990003221
213,gnp_uniform_mpg_36_3_3.edgelist.gz,36,36,3,0.3954733820010006
214,gnp_uniform_mpg_36_3_4.edgelist.gz,36,36,3,0.01541577399984817
215,gnp_uniform_mpg_36_3_5.edgelist.gz,36,36,3,0.17704223599866964
216,gnp_uniform_mpg_36_3_6.edgelist.gz,36,36,3,0.3509415619992069
217,gnp_uniform_mpg_36_3_7.edgelist.gz,36,36,3,0.2297237929997209
218,gnp_uniform_mpg_36_3_8.edgelist.gz,36,36,3,0.2957476179999503
219,gnp_uniform_mpg_36_3_9.edgelist.gz,36,36,3,0.39133607700023276
220,gnp_uniform_mpg_36_5_0.edgelist.gz,36,36,5,0.024032885001361137
221,gnp_uniform_mpg_36_5_1.edgelist.gz,36,36,5,0.02597131999937119
222,gnp_uniform_mpg_36_5_2.edgelist.gz,36,36,5,0.02350558599937358
223,gnp_uniform_mpg_36_5_3.edgelist.gz,36,36,5,0.026255222999679972
224,gnp_uniform_mpg_36_5_4.edgelist.gz,36,36,5,0.11791820399957942
225,gnp_uniform_mpg_36_5_5.edgelist.gz,36,36,5,0.02586125100060599
226,gnp_uniform_mpg_36_5_6.edgelist.gz,36,36,5,0.03022239699930651
227,gnp_uniform_mpg_36_5_7.edgelist.gz,36,36,5,0.025746572000571177
228,gnp_uniform_mpg_36_5_8.edgelist.gz,36,36,5,0.027576753000175813
229,gnp_uniform_mpg_36_5_9.edgelist.gz,36,36,5,0.893443398999807
230,gnp_uniform_mpg_36_7_0.edgelist.gz,36,36,7,0.031844381999690086
231,gnp_uniform_mpg_36_7_1.edgelist.gz,36,36,7,0.03393499899902963
232,gnp_uniform_mpg_36_7_2.edgelist.gz,36,36,7,0.03874983199966664
233,gnp_uniform_mpg_36_7_3.edgelist.gz,36,36,7,0.032047618999058614
234,gnp_uniform_mpg_36_7_4.edgelist.gz,36,36,7,0.11765155200009758
235,gnp_uniform_mpg_36_7_5.edgelist.gz,36,36,7,0.03370990300027188
236,gnp_uniform_mpg_36_7_6.edgelist.gz,36,36,7,0.03526525900088018
237,gnp_uniform_mpg_36_7_7.edgelist.gz,36,36,7,0.03441389899853675
238,gnp_uniform_mpg_36_7_8.edgelist.gz,36,36,7,0.03619099999923492
239,gnp_uniform_mpg_36_7_9.edgelist.gz,36,36,7,1.7342711700002837
240,gnp_uniform_mpg_36_9_0.edgelist.gz,36,36,9,0.042152969999733614
241,gnp_uniform_mpg_36_9_1.edgelist.gz,36,36,9,0.041622597998866695
242,gnp_uniform_mpg_36_9_2.edgelist.gz,36,36,9,0.13121612400027516
243,gnp_uniform_mpg_36_9_3.edgelist.gz,36,36,9,0.04244162299983145
244,gnp_uniform_mpg_36_9_4.edgelist.gz,36,36,9,0.04167944899927534
245,gnp_uniform_mpg_36_9_5.edgelist.gz,36,36,9,2.8120361830006004
246,gnp_uniform_mpg_36_9_6.edgelist.gz,36,36,9,0.04665700999976252
247,gnp_uniform_mpg_36_9_7.edgelist.gz,36,36,9,0.04742721600086952
248,gnp_uniform_mpg_36_9_8.edgelist.gz,36,36,9,0.13685563699982595
249,gnp_uniform_mpg_36_9_9.edgelist.gz,36,36,9,0.0489764269987063
250,gnp_uniform_mpg_49_1_0.edgelist.gz,49,49,1,0.03815318099987053
251,gnp_uniform_mpg_49_1_1.edgelist.gz,49,49,1,0.15103033900049923
252,gnp_uniform_mpg_49_1_2.edgelist.gz,49,49,1,0.01448619200164103
253,gnp_uniform_mpg_49_1_3.edgelist.gz,49,49,1,0.17861114200059092
254,gnp_uniform_mpg_49_1_4.edgelist.gz,49,49,1,0.19130423899878224
255,gnp_uniform_mpg_49_1_5.edgelist.gz,49,49,1,0.030745365000257152
256,gnp_uniform_mpg_49_1_6.edgelist.gz,49,49,1,0.24308980599926144
257,gnp_uniform_mpg_49_1_7.edgelist.gz,49,49,1,0.1995616690001043
258,gnp_uniform_mpg_49_1_8.edgelist.gz,49,49,1,0.08025649399860413
259,gnp_uniform_mpg_49_1_9.edgelist.gz,49,49,1,0.16262791000008292
260,gnp_uniform_mpg_49_3_0.edgelist.gz,49,49,3,0.6057726029994228
261,gnp_uniform_mpg_49_3_1.edgelist.gz,49,49,3,0.8112217910002073
262,gnp_uniform_mpg_49_3_2.edgelist.gz,49,49,3,0.7608683060007024
263,gnp_uniform_mpg_49_3_3.edgelist.gz,49,49,3,0.025795879000725108
264,gnp_uniform_mpg_49_3_4.edgelist.gz,49,49,3,0.5760392840002169
265,gnp_uniform_mpg_49_3_5.edgelist.gz,49,49,3,0.5113570349985821
266,gnp_uniform_mpg_49_3_6.edgelist.gz,49,49,3,0.6971744960010255
267,gnp_uniform_mpg_49_3_7.edgelist.gz,49,49,3,0.7237930310002412
268,gnp_uniform_mpg_49_3_8.edgelist.gz,49,49,3,0.8616038079999271
269,gnp_uniform_mpg_49_3_9.edgelist.gz,49,49,3,0.6471041530003276
270,gnp_uniform_mpg_49_5_0.edgelist.gz,49,49,5,1.6017715289999614
271,gnp_uniform_mpg_49_5_1.edgelist.gz,49,49,5,0.0368935300011799
272,gnp_uniform_mpg_49_5_2.edgelist.gz,49,49,5,1.8564626709994627
273,gnp_uniform_mpg_49_5_3.edgelist.gz,49,49,5,0.03683206900132063
274,gnp_uniform_mpg_49_5_4.edgelist.gz,49,49,5,0.036192396000842564
275,gnp_uniform_mpg_49_5_5.edgelist.gz,49,49,5,0.03818377000061446
276,gnp_uniform_mpg_49_5_6.edgelist.gz,49,49,5,0.5564519119998295
277,gnp_uniform_mpg_49_5_7.edgelist.gz,49,49,5,0.14573387899872614
